18963,16838,2125,773
16,0,16,1
18670,16519,2151,786
1189,1012,177,58
3286,2869,417,155
21738,19183,2555,952
8,0,8,0
16291,14359,1932,696
9,0,9,0
20739,18250,2489,952
544,447,97,33
13,0,13,0
3607,3153,454,158
7,0,7,0
15964,14124,1840,664
5990,5263,727,271
8,0,8,0
8,0,8,0
3626,3143,483,184
12,0,12,0
21114,18612,2502,932
9,0,9,0
8,0,8,0
9,0,9,0
12488,10989,1499,559
24208,21405,2803,1050
9279,8183,1096,410
4745,4137,608,217
605,507,98,30
7330,6449,881,309
17,0,17,1
9,0,9,0
4535,3973,562,199
10468,9222,1246,463
8,0,8,0
19824,17491,2333,873
9,0,9,0
24511,21641,2870,1100
9,0,9,0
16017,14107,1910,685
26972,23859,3113,1164
7543,6616,927,353
5464,4805,659,232
9,0,9,0
8,0,8,0
5023,4372,651,230
2401,2079,322,109
12,0,12,0
14733,13004,1729,642
7,0,7,0
7613,6676,937,358
8,0,8,0
9,0,9,0
9426,8293,1133,414
11227,9920,1307,487
9,0,9,0
13518,11922,1596,589
8,0,8,0
8743,7689,1054,389
7,0,7,0
1995,1679,316,138
9583,8397,1186,455
15774,13904,1870,699
9,0,9,0
9,0,9,0
6459,5667,792,287
3267,2865,402,137
13933,12261,1672,626
14508,12718,1790,675
8,0,8,0
2659,2309,350,127
14142,12475,1667,644
22423,19756,2667,972
8,0,8,0
10637,9434,1203,461
1128,963,165,58
20020,17682,2338,844
7,0,7,0
2047,1772,275,93
8,0,8,0
7,0,7,0
21522,19046,2476,903
23951,21174,2777,1027
8,0,8,0
2684,2352,332,133
18275,16115,2160,796
7,0,7,0
1888,1627,261,88
8,0,8,0
8,0,8,0
10735,9473,1262,467
16360,14453,1907,711
403,335,68,22
6638,5809,829,295
1913,1662,251,86
9,0,9,0
21352,18853,2499,928
9,0,9,0
21557,19071,2486,911
28159,24799,3360,1228
